t,u
0.378625,-0.010717
0.37875,-0.010717
0.378875,-0.010717
0.379,-0.010717
0.379125,-0.010717
0.37925,-0.010717
0.379375,-0.010717
0.3795,-0.010717
0.379625,-0.010717
0.37975,-0.010717
0.379875,-0.010717
0.38,-0.010717
0.380125,-0.00706855
0.38025,-0.010717
0.380375,-0.010717
0.3805,-0.010717
0.380625,-0.00706855
0.38075,-0.010717
0.380875,-0.010717
0.381,-0.00706855
0.381125,-0.00706855
0.38125,-0.00706855
0.381375,-0.00706855
0.3815,-0.00706855
0.381625,-0.010717
0.38175,-0.010717
0.381875,-0.00706855
0.382,-0.010717
0.382125,-0.010717
0.38225,-0.00706855
0.382375,-0.010717
0.3825,-0.00706855
0.382625,-0.010717
0.38275,-0.010717
0.382875,-0.00706855
0.383,-0.010717
0.383125,-0.010717
0.38325,-0.00706855
0.383375,-0.00706855
0.3835,-0.00706855
0.383625,-0.00706855
0.38375,-0.010717
0.383875,-0.010717
0.384,-0.010717
0.384125,-0.00706855
0.38425,-0.010717
0.384375,-0.010717
0.3845,-0.010717
0.384625,-0.00706855
0.38475,-0.010717
0.384875,-0.010717
0.385,-0.00706855
0.385125,-0.00706855
0.38525,-0.010717
0.385375,-0.00706855
0.3855,-0.00706855
0.385625,-0.00706855
0.38575,-0.00706855
0.385875,-0.00706855
0.386,-0.00706855
0.386125,-0.00706855
0.38625,-0.00706855
0.386375,-0.00706855
0.3865,-0.00706855
0.386625,-0.00706855
0.38675,-0.00706855
0.386875,-0.00706855
0.387,-0.00706855
0.387125,-0.010717
0.38725,-0.010717
0.387375,-0.00706855
0.3875,-0.00706855
0.387625,-0.00706855
0.38775,-0.010717
0.387875,-0.010717
0.388,-0.010717
0.388125,-0.010717
0.38825,-0.00706855
0.388375,-0.010717
0.3885,-0.010717
0.388625,-0.010717
0.38875,-0.010717
0.388875,-0.010717
0.389,-0.010717
0.389125,-0.00706855
0.38925,-0.010717
0.389375,-0.010717
0.3895,-0.010717
0.389625,-0.010717
0.38975,-0.010717
0.389875,-0.010717
0.39,-0.010717
0.390125,-0.010717
0.39025,-0.010717
0.390375,-0.010717
0.3905,-0.010717
0.390625,-0.010717
0.39075,-0.010717
0.390875,-0.010717
0.391,-0.010717
0.391125,-0.010717
0.39125,-0.010717
0.391375,-0.010717
0.3915,-0.010717
0.391625,-0.010717
0.39175,-0.00706855
0.391875,-0.010717
0.392,-0.00706855
0.392125,-0.00706855
0.39225,-0.010717
0.392375,-0.00706855
0.3925,-0.00706855
0.392625,-0.010717
0.39275,-0.010717
0.392875,-0.00706855
0.393,-0.00706855
0.393125,-0.010717
0.39325,-0.010717
0.393375,-0.010717
0.3935,-0.00706855
0.393625,-0.010717
0.39375,-0.010717
0.393875,-0.010717
0.394,-0.00706855
0.394125,-0.010717
0.39425,-0.010717
0.394375,-0.010717
0.3945,-0.00706855
0.394625,-0.010717
0.39475,-0.00706855
0.394875,-0.010717
0.395,-0.010717
0.395125,-0.00706855
0.39525,-0.010717
0.395375,-0.010717
0.3955,-0.010717
0.395625,-0.010717
0.39575,-0.00706855
0.395875,-0.00706855
0.396,-0.00706855
0.396125,-0.010717
0.39625,-0.010717
0.396375,-0.00706855
0.3965,-0.00706855
0.396625,-0.00706855
0.39675,-0.00706855
0.396875,-0.00706855
0.397,-0.00706855
0.397125,-0.00706855
0.39725,-0.00706855
0.397375,-0.00706855
0.3975,-0.010717
0.397625,-0.00706855
0.39775,-0.010717
0.397875,-0.00706855
0.398,-0.010717
0.398125,-0.010717
0.39825,-0.010717
0.398375,-0.00706855
0.3985,-0.010717
0.398625,-0.010717
0.39875,-0.010717
0.398875,-0.00706855
0.399,-0.00706855
0.399125,-0.00706855
0.39925,-0.00706855
0.399375,-0.00706855
0.3995,-0.00706855
0.399625,-0.00706855
0.39975,-0.010717
0.399875,-0.010717
0.4,-0.010717
0.400125,-0.00706855
0.40025,-0.00706855
0.400375,-0.00706855
0.4005,-0.00706855
0.400625,-0.00706855
0.40075,-0.00706855
0.400875,-0.00706855
0.401,-0.00706855
0.401125,-0.010717
0.40125,-0.010717
0.401375,-0.010717
0.4015,-0.010717
0.401625,-0.010717
0.40175,-0.010717
0.401875,-0.00706855
0.402,-0.010717
0.402125,-0.010717
0.40225,-0.00706855
0.402375,-0.00706855
0.4025,-0.00706855
0.402625,-0.00706855
0.40275,-0.00706855
0.402875,-0.00706855
0.403,-0.010717
0.403125,-0.00706855
0.40325,-0.00706855
0.403375,-0.00706855
0.4035,-0.010717
0.403625,-0.00706855
0.40375,-0.00706855
0.403875,-0.00706855
0.404,-0.00706855
0.404125,-0.00706855
0.40425,-0.00706855
0.404375,-0.00706855
0.4045,-0.00706855
0.404625,-0.00706855
0.40475,-0.00706855
0.404875,-0.00706855
0.405,-0.00706855
0.405125,-0.00706855
0.40525,-0.00706855
0.405375,-0.00706855
0.4055,-0.010717
0.405625,-0.010717
0.40575,-0.00706855
0.405875,-0.00706855
0.406,-0.00706855
0.406125,-0.00706855
0.40625,-0.00706855
0.406375,-0.00706855
0.4065,-0.00706855
0.406625,-0.00706855
0.40675,-0.00706855
0.406875,-0.00706855
0.407,-0.00706855
0.407125,-0.00706855
0.40725,-0.00706855
0.407375,-0.00706855
0.4075,-0.00706855
0.407625,-0.00706855
0.40775,-0.010717
0.407875,-0.00706855
0.408,-0.00706855
0.408125,-0.00706855
0.40825,-0.010717
0.408375,-0.00706855
0.4085,-0.00706855
0.408625,-0.00706855
0.40875,-0.00706855
0.408875,-0.00706855
0.409,-0.00706855
0.409125,-0.00706855
0.40925,-0.00706855
0.409375,-0.00706855
0.4095,-0.00706855
0.409625,-0.00706855
0.40975,-0.00706855
0.409875,-0.00706855
0.41,-0.00706855
0.410125,-0.00706855
0.41025,-0.00706855
0.410375,-0.00706855
0.4105,-0.00706855
0.410625,-0.00706855
0.41075,-0.010717
0.410875,-0.00706855
0.411,-0.00706855
0.411125,-0.00706855
0.41125,-0.00706855
0.411375,-0.010717
0.4115,-0.010717
0.411625,-0.00706855
0.41175,-0.00706855
0.411875,-0.00706855
0.412,-0.00706855
0.412125,-0.00706855
0.41225,-0.00706855
0.412375,-0.010717
0.4125,-0.00706855
0.412625,-0.00706855
0.41275,-0.00706855
0.412875,-0.00706855
0.413,-0.00706855
0.413125,-0.00706855
0.41325,-0.00706855
0.413375,-0.00706855
0.4135,-0.00706855
0.413625,-0.00706855
0.41375,-0.00706855
0.413875,-0.010717
0.414,-0.010717
0.414125,-0.010717
0.41425,-0.00706855
0.414375,-0.00706855
0.4145,-0.010717
0.414625,-0.00706855
0.41475,-0.00706855
0.414875,-0.010717
0.415,-0.010717
0.415125,-0.00706855
0.41525,-0.010717
0.415375,-0.010717
0.4155,-0.010717
0.415625,-0.00706855
0.41575,-0.010717
0.415875,-0.00706855
0.416,-0.010717
0.416125,-0.00706855
0.41625,-0.010717
0.416375,-0.00706855
0.4165,-0.010717
0.416625,-0.010717
0.41675,-0.010717
0.416875,-0.010717
0.417,-0.010717
0.417125,-0.010717
0.41725,-0.00706855
0.417375,-0.00706855
0.4175,-0.010717
0.417625,-0.010717
0.41775,-0.010717
0.417875,-0.00706855
0.418,-0.010717
0.418125,-0.010717
0.41825,-0.00706855
0.418375,-0.00706855
0.4185,-0.00706855
0.418625,-0.010717
0.41875,-0.010717
0.418875,-0.00706855
0.419,-0.010717
0.419125,-0.00706855
0.41925,-0.010717
0.419375,-0.010717
0.4195,-0.010717
0.419625,-0.010717
0.41975,-0.010717
0.419875,-0.010717
0.42,-0.010717
0.420125,-0.010717
0.42025,-0.010717
0.420375,-0.010717
0.4205,-0.010717
0.420625,-0.00706855
0.42075,-0.00706855
0.420875,-0.010717
0.421,-0.00706855
0.421125,-0.010717
0.42125,-0.00706855
0.421375,-0.00706855
0.4215,-0.010717
0.421625,-0.010717
0.42175,-0.010717
0.421875,-0.00706855
0.422,-0.00706855
0.422125,-0.010717
0.42225,-0.010717
0.422375,-0.010717
0.4225,-0.010717
0.422625,-0.00706855
0.42275,-0.010717
0.422875,-0.010717
0.423,-0.010717
0.423125,-0.010717
0.42325,-0.010717
0.423375,-0.010717
0.4235,-0.00706855
0.423625,-0.010717
0.42375,-0.010717
0.423875,-0.010717
0.424,-0.00706855
0.424125,-0.010717
0.42425,-0.010717
0.424375,-0.00706855
0.4245,-0.010717
0.424625,-0.010717
0.42475,-0.010717
0.424875,-0.00706855
0.425,-0.010717
0.425125,-0.010717
0.42525,-0.010717
0.425375,-0.010717
0.4255,-0.010717
0.425625,-0.010717
0.42575,-0.010717
0.425875,-0.00706855
0.426,-0.010717
0.426125,-0.010717
0.42625,-0.010717
0.426375,-0.010717
0.4265,-0.00706855
0.426625,-0.010717
0.42675,-0.00706855
0.426875,-0.010717
0.427,-0.010717
0.427125,-0.010717
0.42725,-0.010717
0.427375,-0.010717
0.4275,-0.010717
0.427625,-0.010717
0.42775,-0.010717
0.427875,-0.010717
0.428,-0.010717
0.428125,-0.010717
0.42825,-0.010717
0.428375,-0.010717
0.4285,-0.010717
0.428625,-0.010717
0.42875,-0.00706855
0.428875,-0.010717
0.429,-0.00706855
0.429125,-0.00706855
0.42925,-0.00706855
0.429375,-0.00706855
0.4295,-0.010717
0.429625,-0.010717
0.42975,-0.010717
0.429875,-0.010717
0.43,-0.010717
0.430125,-0.010717
0.43025,-0.010717
0.430375,-0.010717
0.4305,-0.010717
0.430625,-0.010717
0.43075,-0.010717
0.430875,-0.010717
0.431,-0.010717
0.431125,-0.010717
0.43125,-0.010717
0.431375,-0.010717
0.4315,-0.010717
0.431625,-0.010717
0.43175,-0.010717
0.431875,-0.00706855
0.432,-0.010717
0.432125,-0.010717
0.43225,-0.010717
0.432375,-0.010717
0.4325,-0.00706855
0.432625,-0.010717
0.43275,-0.010717
0.432875,-0.00706855
0.433,-0.010717
0.433125,-0.010717
0.43325,-0.010717
0.433375,-0.010717
0.4335,-0.010717
0.433625,-0.010717
0.43375,-0.010717
0.433875,-0.010717
0.434,-0.010717
0.434125,-0.010717
0.43425,-0.010717
0.434375,-0.00706855
0.4345,-0.010717
0.434625,-0.010717
0.43475,-0.010717
0.434875,-0.010717
0.435,-0.00706855
0.435125,-0.00706855
0.43525,-0.010717
0.435375,-0.010717
0.4355,-0.010717
0.435625,-0.010717
0.43575,-0.010717
0.435875,-0.00706855
0.436,-0.00706855
0.436125,-0.00706855
0.43625,-0.00706855
0.436375,-0.010717
0.4365,-0.010717
0.436625,-0.010717
0.43675,-0.00706855
0.436875,-0.010717
0.437,-0.010717
0.437125,-0.010717
0.43725,-0.010717
0.437375,-0.010717
0.4375,-0.010717
0.437625,-0.00706855
0.43775,-0.00706855
0.437875,-0.00706855
0.438,-0.00706855
0.438125,-0.010717
0.43825,-0.010717
0.438375,-0.00706855
0.4385,-0.00706855
0.438625,-0.00706855
0.43875,-0.00706855
0.438875,-0.00706855
0.439,-0.00706855
0.439125,-0.010717
0.43925,-0.010717
0.439375,-0.00706855
0.4395,-0.00706855
0.439625,-0.010717
0.43975,-0.010717
0.439875,-0.010717
0.44,-0.00706855
0.440125,-0.00706855
0.44025,-0.010717
0.440375,-0.010717
0.4405,-0.010717
0.440625,-0.010717
0.44075,-0.010717
0.440875,-0.010717
0.441,-0.010717
0.441125,-0.010717
0.44125,-0.010717
0.441375,-0.010717
0.4415,-0.010717
0.441625,-0.010717
0.44175,-0.010717
0.441875,-0.010717
0.442,-0.00706855
0.442125,-0.010717
0.44225,-0.010717
0.442375,-0.010717
0.4425,-0.010717
0.442625,-0.010717
0.44275,-0.010717
0.442875,-0.010717
0.443,-0.00706855
0.443125,-0.00706855
0.44325,-0.00706855
0.443375,-0.00706855
0.4435,-0.00706855
0.443625,-0.00706855
0.44375,-0.010717
0.443875,-0.00706855
0.444,-0.010717
0.444125,-0.010717
0.44425,-0.010717
0.444375,-0.00706855
0.4445,-0.010717
0.444625,-0.010717
0.44475,-0.010717
0.444875,-0.010717
0.445,-0.010717
0.445125,-0.00706855
0.44525,-0.010717
0.445375,-0.010717
0.4455,-0.010717
0.445625,-0.00706855
0.44575,-0.010717
0.445875,-0.010717
0.446,-0.010717
0.446125,-0.00706855
0.44625,-0.010717
0.446375,-0.010717
0.4465,-0.010717
0.446625,-0.00706855
0.44675,-0.010717
0.446875,-0.00706855
0.447,-0.00706855
0.447125,-0.010717
0.44725,-0.010717
0.447375,-0.010717
0.4475,-0.010717
0.447625,-0.010717
0.44775,-0.010717
0.447875,-0.010717
0.448,-0.010717
0.448125,-0.010717
0.44825,-0.010717
0.448375,-0.010717
0.4485,-0.010717
0.448625,-0.010717
0.44875,-0.010717
0.448875,-0.010717
0.449,-0.00706855
0.449125,-0.010717
0.44925,-0.010717
0.449375,-0.010717
0.4495,-0.010717
0.449625,-0.010717
0.44975,-0.010717
0.449875,-0.010717
0.45,-0.010717
0.450125,-0.010717
0.45025,-0.010717
0.450375,-0.010717
0.4505,-0.010717
0.450625,-0.010717
0.45075,-0.010717
0.450875,-0.00706855
0.451,-0.010717
0.451125,-0.010717
0.45125,-0.010717
0.451375,-0.010717
0.4515,-0.00706855
0.451625,-0.00706855
0.45175,-0.00706855
0.451875,-0.00706855
0.452,-0.00706855
0.452125,-0.010717
0.45225,-0.010717
0.452375,-0.010717
0.4525,-0.010717
0.452625,-0.010717
0.45275,-0.010717
0.452875,-0.010717
0.453,-0.010717
0.453125,-0.010717
0.45325,-0.010717
0.453375,-0.010717
0.4535,-0.010717
0.453625,-0.00706855
0.45375,-0.010717
0.453875,-0.010717
0.454,-0.010717
0.454125,-0.010717
0.45425,-0.010717
0.454375,-0.010717
0.4545,-0.010717
0.454625,-0.010717
0.45475,-0.010717
0.454875,-0.00706855
0.455,-0.010717
0.455125,-0.010717
0.45525,-0.010717
0.455375,-0.010717
0.4555,-0.010717
0.455625,-0.010717
0.45575,-0.010717
0.455875,-0.010717
0.456,-0.010717
0.456125,-0.010717
0.45625,-0.010717
0.456375,-0.010717
0.4565,-0.010717
0.456625,-0.010717
0.45675,-0.010717
0.456875,-0.010717
0.457,-0.010717
0.457125,-0.010717
0.45725,-0.010717
0.457375,-0.010717
0.4575,-0.010717
0.457625,-0.010717
0.45775,-0.010717
0.457875,-0.010717
0.458,-0.00706855
0.458125,-0.010717
0.45825,-0.010717
0.458375,-0.010717
0.4585,-0.010717
0.458625,-0.010717
0.45875,-0.010717
0.458875,-0.010717
0.459,-0.010717
0.459125,-0.010717
0.45925,-0.010717
0.459375,-0.010717
0.4595,-0.00706855
0.459625,-0.010717
0.45975,-0.010717
0.459875,-0.010717
0.46,-0.010717
0.460125,-0.010717
0.46025,-0.010717
0.460375,-0.010717
0.4605,-0.010717
0.460625,-0.010717
0.46075,-0.010717
0.460875,-0.010717
0.461,-0.010717
0.461125,-0.010717
0.46125,-0.010717
0.461375,-0.010717
0.4615,-0.010717
0.461625,-0.010717
0.46175,-0.010717
0.461875,-0.010717
0.462,-0.010717
0.462125,-0.00706855
0.46225,-0.00706855
0.462375,-0.00706855
0.4625,-0.010717
0.462625,-0.010717
0.46275,-0.00706855
0.462875,-0.00706855
0.463,-0.00706855
0.463125,-0.00706855
0.46325,-0.00706855
0.463375,-0.00706855
0.4635,-0.010717
0.463625,-0.010717
0.46375,-0.010717
0.463875,-0.010717
0.464,-0.010717
0.464125,-0.010717
0.46425,-0.010717
0.464375,-0.010717
0.4645,-0.010717
0.464625,-0.00706855
0.46475,-0.00706855
0.464875,-0.010717
0.465,-0.010717
0.465125,-0.010717
0.46525,-0.00706855
0.465375,-0.00706855
0.4655,-0.00706855
0.465625,-0.00706855
0.46575,-0.010717
0.465875,-0.00706855
0.466,-0.00706855
0.466125,-0.00706855
0.46625,-0.010717
0.466375,-0.010717
0.4665,-0.00706855
0.466625,-0.00706855
0.46675,-0.00706855
0.466875,-0.00706855
0.467,-0.010717
0.467125,-0.00706855
0.46725,-0.00706855
0.467375,-0.010717
0.4675,-0.00706855
0.467625,-0.00706855
0.46775,-0.00706855
0.467875,-0.00706855
0.468,-0.00706855
0.468125,-0.00706855
0.46825,-0.010717
0.468375,-0.010717
0.4685,-0.010717
0.468625,-0.010717
0.46875,-0.010717
0.468875,-0.00706855
0.469,-0.00706855
0.469125,-0.010717
0.46925,-0.010717
0.469375,-0.010717
0.4695,-0.00706855
0.469625,-0.00706855
0.46975,-0.00706855
0.469875,-0.010717
0.47,-0.00706855
0.470125,-0.010717
0.47025,-0.010717
0.470375,-0.010717
0.4705,-0.010717
0.470625,-0.010717
0.47075,-0.00706855
0.470875,-0.010717
0.471,-0.010717
0.471125,-0.00706855
0.47125,-0.00706855
0.471375,-0.010717
0.4715,-0.010717
0.471625,-0.010717
0.47175,-0.010717
0.471875,-0.010717
0.472,-0.00706855
0.472125,-0.00706855
0.47225,-0.010717
0.472375,-0.010717
0.4725,-0.010717
0.472625,-0.00706855
0.47275,-0.010717
0.472875,-0.00706855
0.473,-0.010717
0.473125,-0.00706855
0.47325,-0.00706855
0.473375,-0.00706855
0.4735,-0.00706855
0.473625,-0.00706855
0.47375,-0.010717
0.473875,-0.00706855
0.474,-0.00706855
0.474125,-0.00706855
0.47425,-0.00706855
0.474375,-0.00706855
0.4745,-0.010717
0.474625,-0.00706855
0.47475,-0.00706855
0.474875,-0.010717
0.475,-0.00706855
0.475125,-0.010717
0.47525,-0.00706855
0.475375,-0.010717
0.4755,-0.00706855
0.475625,-0.00706855
0.47575,-0.00706855
0.475875,-0.00706855
0.476,-0.010717
0.476125,-0.010717
0.47625,-0.010717
0.476375,-0.010717
0.4765,-0.010717
0.476625,-0.010717
0.47675,-0.010717
0.476875,-0.010717
0.477,-0.00706855
0.477125,-0.00706855
0.47725,-0.00706855
0.477375,-0.010717
0.4775,-0.010717
0.477625,-0.010717
0.47775,-0.010717
0.477875,-0.010717
0.478,-0.010717
0.478125,-0.010717
0.47825,-0.010717
0.478375,-0.010717
0.4785,-0.010717
0.478625,-0.00706855
0.47875,-0.00706855
0.478875,-0.00706855
0.479,-0.010717
0.479125,-0.010717
0.47925,-0.010717
0.479375,-0.010717
0.4795,-0.010717
0.479625,-0.010717
0.47975,-0.010717
0.479875,-0.010717
0.48,-0.010717
0.480125,-0.010717
0.48025,-0.010717
0.480375,-0.00706855
0.4805,-0.010717
0.480625,-0.010717
0.48075,-0.010717
0.480875,-0.010717
0.481,-0.00706855
0.481125,-0.00706855
0.48125,-0.010717
0.481375,-0.00706855
0.4815,-0.010717
0.481625,-0.010717
0.48175,-0.010717
0.481875,-0.010717
0.482,-0.010717
0.482125,-0.00706855
0.48225,-0.010717
0.482375,-0.010717
0.4825,-0.00706855
0.482625,-0.00706855
0.48275,-0.00706855
0.482875,-0.00706855
0.483,-0.00706855
0.483125,-0.010717
0.48325,-0.010717
0.483375,-0.010717
0.4835,-0.010717
0.483625,-0.00706855
0.48375,-0.00706855
0.483875,-0.010717
0.484,-0.010717
0.484125,-0.010717
0.48425,-0.00706855
0.484375,-0.00706855
0.4845,-0.010717
0.484625,-0.010717
0.48475,-0.00706855
0.484875,-0.00706855
0.485,-0.00706855
0.485125,-0.00706855
0.48525,-0.010717
0.485375,-0.010717
0.4855,-0.010717
0.485625,-0.010717
0.48575,-0.010717
0.485875,-0.010717
0.486,-0.010717
0.486125,-0.00706855
0.48625,-0.00706855
0.486375,-0.010717
0.4865,-0.010717
0.486625,-0.010717
0.48675,-0.010717
0.486875,-0.010717
0.487,-0.00706855
0.487125,-0.010717
0.48725,-0.00706855
0.487375,-0.010717
0.4875,-0.010717
0.487625,-0.00706855
0.48775,-0.00706855
0.487875,-0.00706855
0.488,-0.010717
0.488125,-0.010717
0.48825,-0.010717
0.488375,-0.00706855
0.4885,-0.010717
0.488625,-0.00706855
0.48875,-0.010717
0.488875,-0.010717
0.489,-0.00706855
0.489125,-0.00706855
0.48925,-0.010717
0.489375,-0.00706855
0.4895,-0.00706855
0.489625,-0.010717
0.48975,-0.00706855
0.489875,-0.010717
0.49,-0.010717
0.490125,-0.00706855
0.49025,-0.010717
0.490375,-0.00706855
0.4905,-0.00706855
0.490625,-0.010717
0.49075,-0.010717
0.490875,-0.010717
0.491,-0.010717
0.491125,-0.010717
0.49125,-0.00706855
0.491375,-0.010717
0.4915,-0.010717
0.491625,-0.010717
0.49175,-0.010717
0.491875,-0.010717
0.492,-0.00706855
0.492125,-0.00706855
0.49225,-0.00706855
0.492375,-0.00706855
0.4925,-0.010717
0.492625,-0.010717
0.49275,-0.00706855
0.492875,-0.00706855
0.493,-0.00706855
0.493125,-0.00706855
0.49325,-0.010717
0.493375,-0.00706855
0.4935,-0.00706855
0.493625,-0.010717
0.49375,-0.010717
0.493875,-0.010717
0.494,-0.00706855
0.494125,-0.010717
0.49425,-0.00706855
0.494375,-0.010717
0.4945,-0.00706855
0.494625,-0.00706855
0.49475,-0.00706855
0.494875,-0.00706855
0.495,-0.00706855
0.495125,-0.00706855
0.49525,-0.00706855
0.495375,-0.00706855
0.4955,-0.010717
0.495625,-0.010717
0.49575,-0.010717
0.495875,-0.010717
0.496,-0.00706855
0.496125,-0.00706855
0.49625,-0.00706855
0.496375,-0.010717
0.4965,-0.00706855
0.496625,-0.010717
0.49675,-0.010717
0.496875,-0.010717
0.497,-0.010717
0.497125,-0.00706855
0.49725,-0.010717
0.497375,-0.00706855
0.4975,-0.010717
0.497625,-0.010717
0.49775,-0.010717
0.497875,-0.010717
0.498,-0.010717
0.498125,-0.00706855
0.49825,-0.00706855
0.498375,-0.010717
0.4985,-0.010717
0.498625,-0.010717
0.49875,-0.010717
0.498875,-0.010717
0.499,-0.00706855
0.499125,-0.010717
0.49925,-0.00706855
0.499375,-0.010717
0.4995,-0.010717
0.499625,-0.010717
0.49975,-0.010717
0.499875,-0.010717
